States,1/1/2021,1/8/2021,1/15/2021,1/22/2021,1/29/2021,2/5/2021,2/12/2021,2/19/2021,2/26/2021,3/5/2021,3/12/2021,3/19/2021,3/26/2021,4/2/2021,4/9/2021,4/16/2021,4/23/2021,4/30/2021,5/7/2021,5/14/2021,5/21/2021,5/28/2021,6/4/2021,6/11/2021,6/18/2021,6/25/2021,7/2/2021,7/9/2021,7/16/2021,7/23/2021,7/30/2021,8/6/2021,8/13/2021,8/20/2021,8/27/2021,9/3/2021,9/10/2021,9/17/2021,9/24/2021,10/1/2021,10/8/2021,10/15/2021,10/22/2021,10/29/2021,11/5/2021,11/12/2021,11/19/2021,11/26/2021,12/3/2021,12/10/2021,12/17/2021,12/24/2021
NC,61211,54520,47504,40374,41194,27696,21914,19077,14204,11668,11511,12184,10704,12897,14378,13036,12814,10598,8668,6520,5432,3549,3091,2433,2389,2084,3136,5469,8718,16543,23113,36432,37514,45168,47491,42499,51098,38603,30902,25187,21766,16636,13996,11494,12808,13162,9099,18638,21782,22731,18426,77730
ND,1669,1175,971,891,637,381,687,558,567,570,667,869,1078,1027,1069,980,936,867,632,536,361,282,235,158,100,85,92,154,195,400,599,894,1418,1825,2626,2918,3261,3444,4256,4318,3620,3343,3484,3470,3410,3401,2874,3364,2515,2398,2198,2983
OH,62223,51839,39540,34609,25939,20212,14953,14685,11850,10510,10596,11577,12805,13834,14560,11795,10405,9206,7839,6389,5226,3029,2410,2117,1764,1796,1649,2585,4600,6886,10792,16722,20018,27388,38540,44489,50304,44309,39836,38541,31704,25387,23652,25553,31128,37309,35794,48602,50491,61000,81624,105104
OK,29650,27458,17948,18225,15510,11091,6527,5678,4535,3808,3125,2480,2178,3656,2058,1687,1755,1343,1199,983,947,775,842,1141,1375,1573,2199,3925,6569,9459,13348,14851,15542,18036,18438,16462,14762,12317,10826,7563,9092,7085,5021,4231,4522,5869,3620,8200,10926,4560,8304,14728
OR,7470,8449,5543,4890,4408,3439,2614,2712,2083,2145,1938,2300,2646,3324,4369,5417,5714,5226,4478,3309,2781,2130,1891,1646,1585,1198,1205,1743,2839,4887,7144,11564,14514,15424,15472,12952,13016,11149,10719,9404,7653,8760,7527,7084,6037,5888,3423,7084,5619,5104,5273,10698
PA,56283,51317,39396,39940,27614,25857,20466,17274,18124,17397,18975,24926,27828,31364,34453,28046,24034,18264,13443,10153,7134,4252,3037,2091,1269,1226,1176,1769,3416,5526,9550,12333,16727,20429,23681,26591,31934,32579,32466,34555,32277,28185,27150,28017,33394,55458,42272,47196,54503,55898,63596,98631
RI,9665,6829,5292,4703,3453,2930,2324,2477,2499,2381,2537,2736,2480,2842,3052,2175,1862,1391,829,873,485,249,221,170,131,129,105,242,476,892,1486,1764,2121,1991,2041,2107,2600,2251,2019,1851,1835,1593,1407,1674,2178,3130,2174,6297,6417,7478,8475,13868
SC,36669,31791,33221,26445,24341,20183,17780,15358,9963,7622,7921,7869,7361,6731,6515,5948,5434,4714,3212,3729,2337,1076,1078,643,696,1117,1657,2885,5030,10315,17162,22003,25346,32606,38113,31674,35152,22396,18769,13644,9969,7090,6080,5177,4616,4679,4047,6051,7355,7130,8367,30746
SD,3416,2357,1779,1239,989,1124,950,1089,1122,1118,1171,1315,1353,1281,1389,994,810,573,411,267,251,99,82,50,99,90,59,109,198,268,376,1154,1549,2481,3079,2917,3184,2844,2674,2346,2176,2312,2174,2513,2348,3032,1917,3979,2977,2407,2022,3527
TN,55197,35710,25296,19939,16028,15247,9516,9612,7949,8516,8531,8604,6721,8476,8227,10402,6303,5114,4299,3367,2360,1417,2748,956,675,877,2187,3858,6712,12388,19651,26645,34845,42625,47683,47868,52068,30505,21840,17081,13302,9519,7678,6531,7937,8901,5995,12951,12765,12220,17677,43829
TX,156198,160102,131597,120615,129464,77395,31805,55784,44925,32394,27867,25567,23672,23446,24171,22982,22962,17832,15354,12419,12093,8772,14530,7328,9133,10439,11973,21631,33897,62064,91100,98391,117309,114854,128758,125776,112770,83717,70083,54471,43325,31229,28548,22846,22633,24121,16385,27478,37252,33490,58566,105068
UT,24498,19065,12943,10844,8527,7152,5673,4826,3784,3626,3294,2927,2839,2804,2743,2585,2646,2437,2247,1982,1675,1454,1895,2063,2246,2794,2866,3667,3799,6050,6012,5912,7273,8221,9557,10554,11009,9719,9516,9983,8962,9749,10996,10719,10911,11426,9204,9828,8732,7022,6013,13291
VT,1207,1115,1025,899,954,803,836,712,856,804,770,1105,1257,1060,988,613,536,441,399,273,125,62,68,40,32,27,38,93,126,213,431,720,738,870,1055,1032,1421,1454,1242,1352,1526,1590,1468,1856,2386,2419,1671,3509,3428,2752,2456,4182
VA,33151,34717,41117,34161,23555,22742,15721,12709,10421,9154,9968,9880,10277,10286,10595,9101,7269,5742,3887,3093,2531,1457,1230,976,966,1272,1403,2352,3801,6084,10280,13162,16253,20573,23515,23660,25370,22668,19463,18831,14779,11817,10016,8771,9295,10623,10279,12860,17470,19321,35946,69182
WA,21557,17146,12258,11487,9301,7093,5757,5757,4792,4686,5218,5766,6916,7493,8883,9659,9618,9507,9242,5793,7227,4530,4217,3228,3264,2504,2608,4309,6088,7031,15440,18671,21463,22983,24492,22402,23283,19929,20377,17184,16618,15649,14750,12400,12585,12035,6105,12740,9476,9996,14580,35146
WV,10078,8751,6966,5852,4174,3246,2168,2179,1730,1878,2250,2658,2903,2646,2772,2622,2435,2552,2243,1812,1552,945,707,443,422,345,316,468,769,1314,2146,2835,5536,7149,9825,11276,13656,12229,10436,8696,7613,6593,5978,5283,5598,5747,3297,7750,6759,7274,6343,9127
WI,22095,19248,14125,11393,9518,6883,5189,5055,4634,3845,4126,4520,4834,6172,6131,5269,5102,4760,3596,3104,2094,1147,925,597,579,603,748,1219,2242,5106,8054,9595,9761,12723,13897,12752,17925,21892,20383,20829,14947,17557,14921,17186,21585,24465,22561,29297,26483,30112,29264,37098
WY,2238,2262,1674,1107,886,510,597,667,414,399,418,465,401,426,394,429,446,481,456,581,484,479,492,375,461,494,521,557,728,876,1326,1819,2399,2796,3739,3437,3315,3908,3303,3134,2834,3037,2752,2392,2165,1835,946,1548,1050,722,658,1396
